,n_fold,n_epoch,acc,tpr,tnr,loss,train,valid
0,1,1,59.974626720015614,67.76448544249062,58.754543197056236,1.127943754196167,1,0
1,1,1,49.659477866061295,82.79842342342343,44.51438062767725,-1.0,0,1
2,1,2,59.587196252561725,75.3170942634765,57.12350723525295,0.8721137642860413,1,0
3,1,2,66.78395762391222,56.64414414414414,68.35824809861002,-1.0,0,1
4,1,3,60.98077486093491,76.93859901989046,58.481387001377065,0.8823038339614868,1,0
5,1,3,58.8687097994703,73.84572072072072,56.54340414371886,-1.0,0,1
6,1,4,62.44949741387723,78.04122225425195,60.007449714427615,0.9962513446807861,1,0
7,1,4,58.11577752553916,75.02815315315316,55.4899903837748,-1.0,0,1
8,1,5,63.85771445301064,79.42490631305851,61.41950922184346,0.9010886549949646,1,0
9,1,5,58.24441922058267,75.33783783783784,55.590523647171956,-1.0,0,1
10,1,6,65.56650727042062,80.44825598155087,63.23565929972684,0.7318189144134521,1,0
11,1,6,62.701475595913735,67.82094594594595,61.90663519538421,-1.0,0,1
12,1,7,67.25480628476627,81.42836552320553,65.03487820845656,0.9517497420310974,1,0
13,1,7,54.80514566780174,79.16666666666667,51.0228166797797,-1.0,0,1
14,1,8,68.72548062847663,82.37244162582877,66.58803079215296,1.1058717966079712,1,0
15,1,8,56.466136965569426,76.71734234234235,53.32196870355801,-1.0,0,1
16,1,9,70.24104615985166,82.91294321130009,68.25631532609432,0.924986720085144,1,0
17,1,9,62.239878925463486,67.25788288288288,61.46079202727511,-1.0,0,1
18,1,10,71.70000975895384,84.23897376765639,69.73609951012484,0.6254381537437439,1,0
19,1,10,62.315550510783204,68.04617117117117,61.42582393565871,-1.0,0,1
20,1,11,73.0067336781497,85.17584318247333,71.10075174391042,0.8152860403060913,1,0
21,1,11,62.65607264472191,67.11711711711712,61.963458344260864,-1.0,0,1
22,1,12,74.53693764028496,85.420870567887,72.83224597602546,0.847348153591156,1,0
23,1,12,59.659477866061295,71.84684684684684,57.76728735029286,-1.0,0,1
24,1,13,75.66116912267005,86.48025367541078,73.96663430932118,0.7046000957489014,1,0
25,1,13,62.894438138479,65.79391891891892,62.44426960398636,-1.0,0,1
26,1,14,77.01473602029863,87.40991640242144,75.38659502900873,0.9151637554168701,1,0
27,1,14,58.22928490351873,74.07094594594595,55.76973511670601,-1.0,0,1
28,1,15,78.05796818581048,88.26751225136927,76.458902408741,0.8266264796257019,1,0
29,1,15,65.8418463866818,60.641891891891895,66.64918262085847,-1.0,0,1
30,1,16,79.1773201912755,89.06745459786681,77.62828182495429,0.6670700907707214,1,0
31,1,16,64.70677260688612,63.851351351351354,64.83958387970976,-1.0,0,1
32,1,17,80.03610812920854,89.74488325165754,78.51547508860645,0.8529548645019531,1,0
33,1,17,59.25085130533485,71.42454954954955,57.36078328525221,-1.0,0,1
34,1,18,81.06762955011223,90.51599884692995,79.58778246833872,0.7756726741790771,1,0
35,1,18,65.03594400302687,60.332207207207205,65.76623830754437,-1.0,0,1
36,1,19,81.88250219576462,90.94119342750072,80.46368828588844,0.5772784948348999,1,0
37,1,19,63.22360953461975,66.30067567567568,62.74586939417781,-1.0,0,1
38,1,20,82.54513516151069,91.43845488613434,81.15222249813758,0.5795877575874329,1,0
39,1,20,64.19977298524404,63.372747747747745,64.32817553981991,-1.0,0,1
40,1,21,83.2370449887772,91.71230902277313,81.90961013161161,0.4708305299282074,1,0
41,1,21,66.04994324631102,61.03603603603604,66.82839409039252,-1.0,0,1
42,1,22,83.89089489606714,92.418564427789,82.55525204867146,0.5324793457984924,1,0
43,1,22,63.68898978433598,64.58333333333333,63.550135501355015,-1.0,0,1
44,1,23,84.2890602127452,92.4618045546267,83.00900738198975,0.7027640342712402,1,0
45,1,23,66.1029133560348,58.81193693693694,67.23489815543317,-1.0,0,1
