n_fold,n_epoch,acc,tpr,tnr,loss,train,valid
0,1.0,1.0,65.55470522316669,65.15045486354094,65.61871744946257,1.2290819883346558,1.0,0.0
1,1.0,1.0,63.24399776661083,69.8360655737705,62.20426632191338,-1.0,0.0,1.0
2,1.0,2.0,63.19184409763031,72.76816954913527,61.675452343638696,0.8113982677459717,1.0,0.0
3,1.0,2.0,68.23841429369068,58.81147540983606,69.72527472527473,-1.0,0.0,1.0
4,1.0,3.0,63.29092300543909,75.44736579026292,61.365974893542926,1.0686988830566406,1.0,0.0
5,1.0,3.0,55.5890563930765,79.89754098360656,51.755009696186164,-1.0,0.0,1.0
6,1.0,4.0,63.95031021947686,77.36179146256123,61.82662930775197,0.957926332950592,1.0,0.0
7,1.0,4.0,59.83528754885539,73.50409836065573,57.67937944408533,-1.0,0.0,1.0
8,1.0,5.0,65.31213272473829,78.481455563331,63.226797106267114,1.216143012046814,1.0,0.0
9,1.0,5.0,61.342825237297596,72.62295081967213,59.56367162249515,-1.0,0.0,1.0
10,1.0,6.0,66.54071118156722,79.60111966410076,64.47262193094933,0.8629161715507507,1.0,0.0
11,1.0,6.0,58.531546621998885,76.14754098360656,55.75307045895281,-1.0,0.0,1.0
12,1.0,7.0,68.14510618525706,80.39588123562932,66.2052207500277,1.1100584268569946,1.0,0.0
13,1.0,7.0,60.281965382467895,73.2172131147541,58.24175824175824,-1.0,0.0,1.0
14,1.0,8.0,69.75701751988412,80.91072678196541,67.99085023191022,0.7974522709846497,1.0,0.0
15,1.0,8.0,65.90731434952541,61.290983606557376,66.63542340012928,-1.0,0.0,1.0
16,1.0,9.0,71.3333971082625,82.34029791062682,69.59047664276329,0.6840566396713257,1.0,0.0
17,1.0,9.0,69.500279173646,56.25,71.590174531351,-1.0,0.0,1.0
18,1.0,10.0,72.87492825320469,83.10506847945616,71.2550062528692,1.0690722465515137,1.0,0.0
19,1.0,10.0,56.65270798436627,78.11475409836065,53.26761473820297,-1.0,0.0,1.0
20,1.0,11.0,74.31874709596305,84.19474157752674,72.7549033575533,0.7780219912528992,1.0,0.0
21,1.0,11.0,69.45840312674484,54.15983606557377,71.87136393018746,-1.0,0.0,1.0
22,1.0,12.0,75.6587039112253,84.91452564230731,74.19306327270425,1.2008020877838135,1.0,0.0
23,1.0,12.0,65.17587939698493,63.709016393442624,65.40723981900453,-1.0,0.0,1.0
24,1.0,13.0,77.03077595867384,85.79426172148355,75.64309572430388,1.1859512329101562,1.0,0.0
25,1.0,13.0,61.05248464544947,69.44672131147541,59.72850678733032,-1.0,0.0,1.0
26,1.0,14.0,78.2292890917539,86.7589723083075,76.87863101739723,0.47858789563179016,1.0,0.0
27,1.0,14.0,72.57956448911223,47.06967213114754,76.60310277957336,-1.0,0.0,1.0
28,1.0,15.0,79.56514609014131,87.64870538838349,78.28513083535167,0.5846021175384521,1.0,0.0
29,1.0,15.0,67.57398101619206,59.15983606557377,68.9010989010989,-1.0,0.0,1.0
30,1.0,16.0,80.47257222510729,88.27351794461661,79.23730825853636,0.5674145221710205,1.0,0.0
31,1.0,16.0,65.49692908989391,62.58196721311475,65.95669036845507,-1.0,0.0,1.0
32,1.0,17.0,81.59318883756525,88.99330200939718,80.4213958936854,0.8219072222709656,1.0,0.0
33,1.0,17.0,64.77666108319374,62.377049180327866,65.15513897866839,-1.0,0.0,1.0
34,1.0,18.0,82.2853745866018,89.31820453863841,81.1717401972424,0.7716288566589355,1.0,0.0
35,1.0,18.0,69.47515354550531,53.381147540983605,72.01357466063348,-1.0,0.0,1.0
36,1.0,19.0,83.1039713559461,89.99300209937019,82.01310728023935,0.48388850688934326,1.0,0.0
37,1.0,19.0,67.9034059184813,56.74180327868852,69.66386554621849,-1.0,0.0,1.0
38,1.0,20.0,84.01686391341187,90.50284914525642,82.98982127875132,0.7085980176925659,1.0,0.0
39,1.0,20.0,65.30150753768844,60.614754098360656,66.04072398190046,-1.0,0.0,1.0
40,1.0,21.0,84.56145625495394,91.02769169249225,83.53754096025075,0.47837743163108826,1.0,0.0
41,1.0,21.0,67.1998883305416,57.11065573770492,68.79120879120879,-1.0,0.0,1.0
42,1.0,22.0,85.19351135649275,91.1926422073378,84.24356112773266,0.5660945177078247,1.0,0.0
43,1.0,22.0,67.25013958682301,57.131147540983605,68.84615384615384,-1.0,0.0,1.0
44,1.0,23.0,85.86929783802991,91.53753873837849,84.97174336325213,0.5548425316810608,1.0,0.0
45,1.0,23.0,68.0820770519263,54.24180327868852,70.2650290885585,-1.0,0.0,1.0
46,1.0,24.0,86.32711072238773,92.06238128561432,85.41894223615266,0.530493438243866,1.0,0.0
47,1.0,24.0,68.80513679508654,53.299180327868854,71.2508080155139,-1.0,0.0,1.0
48,1.0,25.0,86.80337278268237,92.26232130360891,85.93895933260515,0.5022668242454529,1.0,0.0
49,1.0,25.0,67.97319932998325,53.5655737704918,70.24563671622495,-1.0,0.0,1.0
50,1.0,26.0,87.2960341104764,92.47725682295311,86.4755979800858,1.0032683610916138,1.0,0.0
51,1.0,26.0,62.27247347850363,66.18852459016394,61.65481577246283,-1.0,0.0,1.0
52,1.0,27.0,87.64178533358843,92.7071878436469,86.83968909784554,0.5153117775917053,1.0,0.0
53,1.0,27.0,65.66164154103852,60.1844262295082,66.52553329023917,-1.0,0.0,1.0
54,1.0,28.0,88.09413179544647,92.96211136659002,87.32329708252205,0.39946162700653076,1.0,0.0
55,1.0,28.0,71.08040201005025,46.82377049180328,74.90627020038785,-1.0,0.0,1.0
56,1.0,29.0,88.46584852543253,93.16205138458463,87.72221430719792,0.527466356754303,1.0,0.0
57,1.0,29.0,69.87995533221664,50.75819672131148,72.89592760180996,-1.0,0.0,1.0
58,1.0,30.0,88.81501626260693,93.42697190842748,88.08472242009783,0.3744724988937378,1.0,0.0
59,1.0,30.0,69.23785594639865,51.51639344262295,72.03296703296704,-1.0,0.0,1.0
60,1.0,31.0,89.02205701478667,93.60191942417275,88.29684507131437,0.327394038438797,1.0,0.0
61,1.0,31.0,70.81518704634283,47.27459016393443,74.52811893988364,-1.0,0.0,1.0
62,1.0,32.0,89.43067209664635,93.78686394081775,88.74087793449526,0.5075898766517639,1.0,0.0
63,1.0,32.0,69.77945281965383,51.39344262295082,72.67937944408533,-1.0,0.0,1.0
64,1.0,33.0,89.90078443162872,94.2667199840048,89.20944737300343,0.5178160667419434,1.0,0.0
65,1.0,33.0,69.42769402568398,51.372950819672134,72.2753716871364,-1.0,0.0,1.0
66,1.0,34.0,90.10440866974608,94.27671698490452,89.44373209225752,0.2452290952205658,1.0,0.0
67,1.0,34.0,72.85873813512005,43.34016393442623,77.51454427925016,-1.0,0.0,1.0
68,1.0,35.0,90.47339218848225,94.57162851144656,89.82444476104541,0.6474360227584839,1.0,0.0
69,1.0,35.0,71.3679508654383,46.31147540983606,75.31997414350356,-1.0,0.0,1.0
70,1.0,36.0,90.45767622379533,94.40167949615116,89.83315128777446,0.601692795753479,1.0,0.0
71,1.0,36.0,71.41541038525963,46.65983606557377,75.31997414350356,-1.0,0.0,1.0
72,1.0,37.0,90.61278596222702,94.57162851144656,89.98591125674756,0.9963011741638184,1.0,0.0
73,1.0,37.0,69.14852037967616,50.799180327868854,72.04266321913381,-1.0,0.0,1.0
74,1.0,38.0,90.98450269221308,94.67159852044387,90.40065853002169,1.1370347738265991,1.0,0.0
75,1.0,38.0,69.75432719151313,49.40573770491803,72.96380090497738,-1.0,0.0,1.0
76,1.0,39.0,91.03096728346134,94.61661501549536,90.46318722198477,0.29579389095306396,1.0,0.0
77,1.0,39.0,70.59463986599665,49.13934426229508,73.9786683904331,-1.0,0.0,1.0
78,1.0,40.0,91.2318583103288,94.74157752674198,90.67610137563122,0.1667346954345703,1.0,0.0
