,n_fold,n_epoch,acc,tpr,tnr,loss,train,valid
0,1,1,56.07716448218572,55.85521646557842,56.12657142212292,1.1118962851296912,1,0
1,1,1,55.89573851882499,58.73590982286635,55.24307322262824,1.1173881289477532,0,1
2,1,2,58.70315672881669,60.87904288755957,58.2187916130634,1.082826954485253,1,0
3,1,2,50.8067852709971,67.3913043478261,46.9956982284102,1.1205475510886085,0,1
4,1,3,60.02953664389884,63.611477238162834,59.23217550274223,1.0622353346176103,1,0
5,1,3,57.51307029751382,55.45491143317231,57.986030806235256,1.1214523263848746,0,1
6,1,4,61.697434004061286,65.9028693095407,60.761279256099485,1.0412330823074123,1,0
7,1,4,55.20367096701396,62.07729468599034,53.6241269253897,1.1209180418115396,0,1
8,1,5,63.18626546058704,67.80898306803203,62.15722120658136,1.019295101253032,1,0
9,1,5,55.557227216308725,59.17874396135266,54.72501040751191,1.1308236044759934,0,1
10,1,6,64.85231678050582,69.44134644631451,63.83077166136277,0.9969727828342207,1,0
11,1,6,48.219054425094974,72.36312399355877,42.67079883435866,1.1458006925307789,0,1
12,1,7,66.35037843824995,71.08384872756768,65.29667998284695,0.9721273958612644,1,0
13,1,7,59.777334787678186,52.09339774557166,61.54308709931079,1.1605083870773132,0,1
14,1,8,68.00535351670666,72.7212815573355,66.95556006951497,0.9484641798975336,1,0
15,1,8,51.94267875277392,65.90177133655395,48.73490910772932,1.1535362435074954,0,1
16,1,9,68.91822041720509,73.64392172766907,67.86625138240007,0.926428751934236,1,0
17,1,9,52.82280813931621,65.19726247987117,49.97918497617836,1.162908190431503,0,1
18,1,10,70.33690234447111,75.1698266247592,69.26106484302706,0.9013415739696732,1,0
19,1,10,73.16357618384924,22.906602254428343,84.71252139321892,1.36706653294655,0,1
20,1,11,71.68543474247738,76.44225894758188,70.62653756742726,0.8810608786703423,1,0
21,1,11,59.61184037311468,51.20772946859904,61.54308709931079,1.202676829523765,0,1
22,1,12,72.48384714786782,77.13677380107472,71.44807818177715,0.8594817695116631,1,0
23,1,12,39.64719599804416,81.70289855072464,29.982885424857763,1.301723213149951,0,1
