"AFR",1,"grayscale_20_housebeautiful.jpg",560,817,5,1.9336,3.2338,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_7_housebeautiful.jpg",512,1033,41,3.2835,4.7503,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_12_housebeautiful.jpg",474,872,33,2.7335,4.1336,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_13_other.jpg",446,889,5,1.8669,3.0339,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_18_kitchen.jpg",393,670,5,1.8169,2.9504,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_60_oliva.jpg",165,383,5,2.1168,3.0837,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_99_oliva.jpg",271,304,51,3.2503,5.417,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_63_oliva.jpg",458,838,5,1.9169,3.0172,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_70_oliva.jpg",468,890,83,2.4169,4.6836,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_27_opensource.jpg",497,628,5,1.9003,2.9005,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_6_housebeautiful.jpg",280,987,5,1.7002,2.3338,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_47_oliva.jpg",183,1009,71,2.4837,3.817,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_34_oliva.jpg",694,308,5,1.417,1.8171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_54_oliva.jpg",417,590,5,1.8002,2.3337,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_6_kitchen.jpg",445,1008,85,4.9169,6.7502,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_9_kitchen.jpg",187,816,143,1.7669,4.3003,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_15_kitchen.jpg",402,1052,5,1.6002,2.0005,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_3_oliva.jpg",465,899,5,1.9335,2.2339,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_10_oliva.jpg",389,274,133,1.867,4.2002,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_20_oliva.jpg",323,239,5,1.5334,1.9671,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_8_housebeautiful.jpg",358,758,47,1.4335,2.2668,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_2_housebeautiful.jpg",616,620,15,1.3335,6.0669,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_15_opensource.jpg",458,562,5,1.1169,1.5171,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_38_oliva.jpg",355,646,5,1.2336,1.6003,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_17_opensource.jpg",443,980,5,1.3502,1.7505,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_89_oliva.jpg",225,591,5,1.5669,1.9671,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_11_kitchen.jpg",449,323,5,1.4503,1.9504,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_18_oliva.jpg",506,812,5,1.917,2.3504,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_61_oliva.jpg",220,325,5,1.4836,2.0172,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_14_airbnb.jpg",362,293,5,1.767,2.5004,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_6_oliva.jpg",310,758,5,1.3334,1.7671,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_56_oliva.jpg",706,661,129,3.2169,5.5169,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_53_oliva.jpg",523,182,83,1.267,2.7004,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_33_oliva.jpg",492,253,5,2.0002,2.4005,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_5_oliva.jpg",271,721,5,1.4336,2.067,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
"AFR",1,"grayscale_34_housebeautiful.jpg",474,251,5,1.5169,1.9172,

"subj","subj_id","image","response_x","response_y","response_size","response_time_click","response_time_circle",
